Skills,Experience,Interests,Career
python sql,Beginner,data science,Data Scientist
python ml,Intermediate,AI,ML Engineer
python deep learning tensorflow,Intermediate,AI,AI Engineer
html css js,Beginner,Web Development,Frontend Developer
html css js react,Intermediate,Web Development,Frontend Developer
java spring boot,Intermediate,Backend Development,Backend Developer
python pandas numpy,Beginner,Data Analysis,Data Analyst
python numpy pandas,Beginner,Data Science,Data Scientist
python keras pytorch,Intermediate,AI,Deep Learning Engineer
r statistics,Intermediate,Data Analysis,Data Analyst
c++ algorithms,Intermediate,Systems,Software Engineer
python flask django,Intermediate,Web Development,Full Stack Developer
javascript react node,Intermediate,Web Development,Full Stack Developer
sql databases,Beginner,Data Management,Database Administrator
aws cloud devops,Intermediate,Cloud,Cloud Engineer
linux bash python,Intermediate,System Admin,DevOps Engineer
html css javascript,Beginner,Web Design,UI/UX Designer
python opencv,Intermediate,Computer Vision,Computer Vision Engineer
python nltk spacy,Intermediate,NLP,NLP Engineer
matlab python,Intermediate,Robotics,Robotics Engineer
python sql tableau,Beginner,Data Visualization,Data Analyst
c java algorithms,Intermediate,Software Development,Software Engineer
python selenium,Intermediate,Automation,Automation Engineer
python keras tensorflow,Intermediate,AI,Machine Learning Engineer
python statistics visualization,Beginner,Data Science,Data Scientist
python scikit-learn,Beginner,Data Science,Data Scientist
python pytorch,Intermediate,AI,Deep Learning Engineer
python computer vision,Intermediate,Computer Vision,Computer Vision Engineer
javascript angular,Beginner,Web Development,Frontend Developer
java spring,Beginner,Backend Development,Backend Developer
python ml statistics,Beginner,AI,ML Engineer
python pandas,Beginner,Data Analysis,Data Analyst
python sql excel,Beginner,Data Analysis,Data Analyst
python flask,Beginner,Web Development,Backend Developer
python django,Intermediate,Web Development,Full Stack Developer
html css bootstrap,Beginner,Web Development,Frontend Developer
python keras,Intermediate,AI,Machine Learning Engineer
python tensorflow,Intermediate,AI,Deep Learning Engineer
python opencv ml,Intermediate,Computer Vision,Computer Vision Engineer
python nltk,Beginner,NLP,NLP Engineer
python spaCy,Intermediate,NLP,NLP Engineer
python pandas matplotlib,Beginner,Data Visualization,Data Analyst
python numpy scipy,Beginner,Data Science,Data Scientist
python r,Intermediate,Data Analysis,Data Analyst
c# .net,Intermediate,Software Development,Software Engineer
javascript vue,Beginner,Web Development,Frontend Developer
php laravel,Intermediate,Web Development,Backend Developer
python selenium automation,Intermediate,Automation,Automation Engineer
python ml ai,Intermediate,AI,ML Engineer
python keras tensorflow,Intermediate,AI,Deep Learning Engineer
python opencv,Beginner,Computer Vision,Computer Vision Engineer
python sql tableau,Beginner,Data Visualization,Data Analyst
java spring boot microservices,Intermediate,Backend Development,Backend Developer
python flask api,Intermediate,Web Development,Backend Developer
html css js jquery,Beginner,Web Development,Frontend Developer
python pandas numpy matplotlib,Intermediate,Data Science,Data Scientist
r python statistics,Intermediate,Data Analysis,Data Analyst
python scikit-learn ml,Intermediate,AI,ML Engineer
python pytorch ai,Intermediate,AI,Deep Learning Engineer
python tensorflow keras,Intermediate,AI,Deep Learning Engineer
python opencv ai,Intermediate,Computer Vision,Computer Vision Engineer
python nltk text,Intermediate,NLP,NLP Engineer
python spaCy nlp,Intermediate,NLP,NLP Engineer
python matplotlib seaborn,Beginner,Data Visualization,Data Analyst
python sql powerbi,Beginner,Data Visualization,Data Analyst
c++ java,Intermediate,Software Development,Software Engineer
javascript react redux,Intermediate,Web Development,Frontend Developer
html css js,Intermediate,Web Development,Frontend Developer
php mysql,Beginner,Web Development,Backend Developer
python flask sql,Intermediate,Web Development,Full Stack Developer
python django rest,Intermediate,Web Development,Full Stack Developer
python selenium webdriver,Intermediate,Automation,Automation Engineer
python keras ml,Intermediate,AI,Machine Learning Engineer
python tensorflow dl,Intermediate,AI,Deep Learning Engineer
python opencv cv,Intermediate,Computer Vision,Computer Vision Engineer
python nltk,Beginner,NLP,NLP Engineer
python spaCy,Intermediate,NLP,NLP Engineer
python pandas,Beginner,Data Analysis,Data Analyst
python numpy scipy,Intermediate,Data Science,Data Scientist
c java,Intermediate,Software Development,Software Engineer
javascript angular react,Intermediate,Web Development,Frontend Developer
java spring boot,Intermediate,Backend Development,Backend Developer
python selenium,Intermediate,Automation,Automation Engineer
python ml,Beginner,AI,ML Engineer
python keras,Intermediate,AI,Deep Learning Engineer
python tensorflow,Intermediate,AI,Deep Learning Engineer
python opencv,Intermediate,Computer Vision,Computer Vision Engineer
python nltk,Intermediate,NLP,NLP Engineer
python spaCy,Intermediate,NLP,NLP Engineer
python matplotlib seaborn,Beginner,Data Visualization,Data Analyst
python sql tableau,Intermediate,Data Visualization,Data Analyst
c++ java,Intermediate,Software Development,Software Engineer
javascript react node,Intermediate,Web Development,Frontend Developer
html css bootstrap,Beginner,Web Development,Frontend Developer
php laravel,Intermediate,Web Development,Backend Developer
python flask django,Intermediate,Web Development,Full Stack Developer
python keras tensorflow,Intermediate,AI,Machine Learning Engineer
python pytorch,Intermediate,AI,Deep Learning Engineer
python opencv,Intermediate,Computer Vision,Computer Vision Engineer
python nltk,Intermediate,NLP,NLP Engineer
python spaCy,Intermediate,NLP,NLP Engineer
python pandas matplotlib,Beginner,Data Visualization,Data Analyst
python numpy scipy,Intermediate,Data Science,Data Scientist
